Key;vi
M005_E001_P1_L6;"<wordwrap>Okay, phần bài luận đã xong một nửa rồi... mình phải tìm thêm tài liệu để hoàn thành cho sớm thôi."
M005_E006_P1_L9;"{E006_Door_1}"
M005_E009_P2_L1;"Xem nào..."
M005_E009_P2_L15;"????????"
M005_E009_P2_L17;"{EV009_Sontinh_1}"
M005_E009_P2_L22;"{EV009_Sontinh_2}"
M005_E009_P2_L25;"Còn đây là vật gì nhĩ?"
M005_E009_P2_L27;"Trong có vẻ giống như 1 miếng ngọc bội thất truyền, mình tạm giữ lại tcó gì nghiên cứu sao vậy."
M005_E009_P2_L31;"{EV009_Sontinh_3}"
M005_E009_P2_L38;"<center>\FS[50]{EV009_intro}"
M005_E010_P1_L2;"{EV010_Sontinh_1}"
M005_E011_P1_L2;"Giờ vẫn còn sớm, mình nên tranh thủ xem thêm tài liệu để hoàn thành bài luận này sớm."
M005_E012_P1_L2;"{EV010_Sontinh_1}"
M017_E010_P1_L1;"Heh heh heh...<br>I'm the guide of this Dark Forest."
M017_E010_P1_L3;"If you wish to leave this forest,<br>gather the three signs scattered<br>throughout the woods."
M017_E010_P1_L5;"If you gather the three signs, the<br>sealed door will open. <br>Heh heh heh..."
M017_E010_P2_L1;"\N<Forest Guide>If you wish to leave this forest,<br>gather the three signs scattered<br>throughout the woods. "
M017_E010_P2_L3;"\N<Forest Guide>If you gather the three signs, the<br>sealed door will open. <br>Heh heh heh..."
M022_E006_P1_L9;"{msg_quest}"
M022_E007_P1_L9;"{msg_welcome}"
C070_L23;"Press [OK] repeatedly to attack! You have 5 seconds!"
ITEM_001_Name;"-----Reserved"
ITEM_001_Desc;"Below are spaces for when you would like to display
items above the recovery items."
ITEM_006_Name;"-----Recovery Items"
ITEM_007_Name;"Potion"
ITEM_007_Desc;"Restores HP by 500 points."
ITEM_008_Name;"Super Potion"
ITEM_008_Desc;"Restores HP by 1500 points."
ITEM_009_Name;"Full Potion"
ITEM_009_Desc;"Completely restores HP."
ITEM_010_Name;"Magic Water"
ITEM_010_Desc;"Restores MP by 300 points."
ITEM_011_Name;"Stimulant"
ITEM_011_Desc;"Raises the subject from the dead. (Restores HP by half.)"
ITEM_012_Name;"Dispel Herb"
ITEM_012_Desc;"Removes all status ailments.
Cannot revive a someone from being dead."
ITEM_013_Name;"Antidote"
ITEM_013_Desc;"Cures Poison or Paralysis states."
ITEM_014_Name;"Miracle Drop"
ITEM_014_Desc;"Restores HP and MP by half."
ITEM_015_Name;"Elixir"
ITEM_015_Desc;"Completely restores HP and MP."
ITEM_017_Name;"-----Specialty Items"
ITEM_018_Name;"Encounter Decreaser"
ITEM_018_Desc;"Halves the number of enemies you will encounter
for a while."
ITEM_019_Name;"Drop Increaser"
ITEM_019_Desc;"Increases items and money gained from battle for
a while."
ITEM_022_Name;"-----Enhancement Items"
ITEM_023_Name;"HP Increase"
ITEM_023_Desc;"Increases max HP by 50 points."
ITEM_024_Name;"MP Increase"
ITEM_024_Desc;"Increases max MP by 10 points."
ITEM_025_Name;"Attack Increase"
ITEM_025_Desc;"Increases Attack by 3 points."
ITEM_026_Name;"Defense Increase"
ITEM_026_Desc;"Increases Defense by 3 points."
ITEM_027_Name;"Magic Increase"
ITEM_027_Desc;"Increases M.Attack by 3 points."
ITEM_028_Name;"Resistance Increase"
ITEM_028_Desc;"Increases M.Defense by 3 points."
ITEM_029_Name;"Agility Increase"
ITEM_029_Desc;"Increases Agility by 3 points."
ITEM_030_Name;"Luck Increase"
ITEM_030_Desc;"Increases Luck by 3 points."
ITEM_032_Name;"-----Recoverfy Food--------"
ITEM_033_Name;"Apple"
ITEM_033_Desc;"Restores HP by 50 points."
WEAP_001_Name;"Short Sword"
WEAP_001_Desc;"[Sword] A light and easy-to-wield short-bladed sword."
WEAP_002_Name;"Long Sword"
WEAP_002_Desc;"[Sword] A long battle sword boasting a sharp cut."
WEAP_003_Name;"Falchion"
WEAP_003_Desc;"[Sword] A wide sword with a curved blade."
WEAP_004_Name;"Mithril Sword"
WEAP_004_Desc;"[Sword] A long sword forged with mithril."
WEAP_005_Name;"Dragon Blade"
WEAP_005_Desc;"[Sword] A sword forged from the fangs of a dragon."
WEAP_007_Name;"Wooden Staff"
WEAP_007_Desc;"[Staff] An inexpensive and widely-used staff."
WEAP_008_Name;"Magic Wand"
WEAP_008_Desc;"[Staff] A wand that slightly increases its wielder’s
magical powers."
WEAP_009_Name;"Force Wand"
WEAP_009_Desc;"[Staff] A silver wand that increases its wielder’s
magical powers."
WEAP_010_Name;"Mithril Rod"
WEAP_010_Desc;"[Staff] A mithril rod that increases its wielder’s
magical powers."
WEAP_011_Name;"Dragon Staff"
WEAP_011_Desc;"[Staff] A dragon staff that increases its wielder’s
magical powers."
WEAP_013_Name;"Stone Flail"
WEAP_013_Desc;"[Flail] A flail with a stone head attached to its
handle with a chain."
WEAP_014_Name;"Bronze Flail"
WEAP_014_Desc;"[Flail] A flail with a bronze head attached to its
handle with a chain."
WEAP_015_Name;"Morning Star"
WEAP_015_Desc;"[Flail] A flail that has been strengthened with steel."
WEAP_016_Name;"Mithril Flail"
WEAP_016_Desc;"[Flail] A flail that has been strengthened with mithril."
WEAP_017_Name;"Dragon Flail"
WEAP_017_Desc;"[Flail] A flail that has been strengthened using fangs of a dragon."
WEAP_019_Name;"Hand Axe"
WEAP_019_Desc;"[Axe] A small axe used for logging trees."
WEAP_020_Name;"Battle Axe"
WEAP_020_Desc;"[Axe] A double-edged axe made for battle."
WEAP_021_Name;"Bardiche"
WEAP_021_Desc;"[Axe] A battle axe with a crescent-shaped blade."
WEAP_022_Name;"Mithril Axe"
WEAP_022_Desc;"[Axe] A battle axe forged with mithril."
WEAP_023_Name;"Dragon Axe"
WEAP_023_Desc;"[Axe] A battle axe forged from the fangs of a dragon."
WEAP_025_Name;"Short Spear"
WEAP_025_Desc;"[Spear] A short spear specialized for thrusting."
WEAP_026_Name;"Long Spear"
WEAP_026_Desc;"[Spear] A spear with the longest handle possible."
WEAP_027_Name;"Halberd"
WEAP_027_Desc;"[Spear] A spear with an axe-head at its tip."
WEAP_028_Name;"Mithril Spear"
WEAP_028_Desc;"[Spear] A spear forged with mithril."
WEAP_029_Name;"Dragon Spear"
WEAP_029_Desc;"[Spear] A spear forged from the fangs of a dragon."
WEAP_031_Name;"Cestus"
WEAP_031_Desc;"[Glove] A battle glove with spikes attached to its
knuckles."
WEAP_032_Name;"Bagh Naka"
WEAP_032_Desc;"[Claw] A combat weapon with 4 short claws attached."
WEAP_033_Name;"Iron Claw"
WEAP_033_Desc;"[Claw] A combat weapon with iron talons attached."
WEAP_034_Name;"Mithril Claw"
WEAP_034_Desc;"[Claw] A combat weapon with mithril talons attached."
WEAP_035_Name;"Dragon Claw"
WEAP_035_Desc;"[Claw] A combat weapon with dragon talons attached."
WEAP_037_Name;"Short Bow"
WEAP_037_Desc;"[Bow] A short bow made for hunting."
WEAP_038_Name;"Long Bow"
WEAP_038_Desc;"[Bow] A long bow for battle with superior power."
WEAP_039_Name;"Crossbow"
WEAP_039_Desc;"[Bow] A crossbow that shoots arrows with powerful
springs."
WEAP_040_Name;"Mithril Bow"
WEAP_040_Desc;"[Bow] A crossbow that shoots mithril arrows with
powerful springs."
WEAP_041_Name;"Dragon Bow"
WEAP_041_Desc;"[Bow] A long bow for battle made with dragon’s
whiskers."
WEAP_043_Name;"Knife"
WEAP_043_Desc;"[Dagger] A knife used for day-to-day tasks."
WEAP_044_Name;"Daggar"
WEAP_044_Desc;"[Dagger] A short blade used in close combat."
WEAP_045_Name;"Machete"
WEAP_045_Desc;"[Dagger] A dagger with a thicker, sturdier blade."
WEAP_046_Name;"Mithril Daggar"
WEAP_046_Desc;"[Dagger] A dagger forged with mithril."
WEAP_047_Name;"Dragon Daggar"
WEAP_047_Desc;"[Dagger] A dagger forged from the fangs of a dragon."
ARMR_001_Name;"-----Armors"
ARMR_002_Name;"Linen Clothing"
ARMR_002_Desc;"[General Equipment] Linen clothing with high
breathability."
ARMR_003_Name;"Leather Vest"
ARMR_003_Desc;"[General Equipment] A vest made of tanned hide."
ARMR_004_Name;"Adventurer’s Clothing"
ARMR_004_Desc;"[General Equipment] Durable clothing that can
withstand rough travels."
ARMR_005_Name;"Hard Leather"
ARMR_005_Desc;"[General Equipment] A vest made of leather
hardened with glue."
ARMR_006_Name;"Brigandine"
ARMR_006_Desc;"[General Equipment] Tanned hide clothing reinforced
with steel plates."
ARMR_008_Name;"Cloth Armor"
ARMR_008_Desc;"[Light Equipment] Armor made of tough cloth."
ARMR_009_Name;"Leather Armor"
ARMR_009_Desc;"[Light Equipment] Armor made of layered hide."
ARMR_010_Name;"Bronze Breastplate"
ARMR_010_Desc;"[Light Equipment] A breastplate made of bronze."
ARMR_011_Name;"Iron Breastplate"
ARMR_011_Desc;"[Light Equipment] A breastplate made of iron steel."
ARMR_012_Name;"Mithril Breastplate"
ARMR_012_Desc;"[Light Equipment] A breastplate made of mithril."
ARMR_013_Name;"Dragon Breastplate"
ARMR_013_Desc;"[Light Equipment] A breastplate made of dragon scales."
ARMR_015_Name;"Bronze Armor"
ARMR_015_Desc;"[Heavy Equipment] Armor made of bronze."
ARMR_016_Name;"Iron Armor"
ARMR_016_Desc;"[Heavy Equipment] Armor made of iron steel."
ARMR_017_Name;"Mithril Armor"
ARMR_017_Desc;"[Heavy Equipment] Armor made of mithril."
ARMR_018_Name;"Dragon Armor"
ARMR_018_Desc;"[Heavy Equipment] Armor made of dragon scales."
ARMR_020_Name;"Cotton Robe"
ARMR_020_Desc;"[Magic Equipment] A basic, widely prevalent robe."
ARMR_021_Name;"Silk Cloak"
ARMR_021_Desc;"[Magic Equipment] A high-quality cloak made of silk."
ARMR_022_Name;"Tactician’s Robe"
ARMR_022_Desc;"[Magic Equipment] A robe inscribed with runic letters."
ARMR_023_Name;"Sage’s Robe"
ARMR_023_Desc;"[Magic Equipment] A robe interwoven with magical
powers."
ARMR_024_Name;"Elemental Cloak"
ARMR_024_Desc;"[Magic Equipment] A cloak that houses the power of
spirits."
ARMR_026_Name;"-----Shields"
ARMR_027_Name;"Buckler"
ARMR_027_Desc;"[Small Shield] A small shield for deflecting attacks."
ARMR_028_Name;"Round Buckler"
ARMR_028_Desc;"[Small Shield] A round, wooden shield reinforced
with an iron frame."
ARMR_029_Name;"Spiked Buckler"
ARMR_029_Desc;"[Small Shield] A round shield with attack spikes
attached."
ARMR_030_Name;"Mithril Buckler"
ARMR_030_Desc;"[Small Shield] A small shield made of mithril."
ARMR_031_Name;"Dragon Buckler"
ARMR_031_Desc;"[Small Shield] A small shield made of dragon scales."
ARMR_033_Name;"Wooden Shield"
ARMR_033_Desc;"[Large Shield] A large, average wooden shield."
ARMR_034_Name;"Bronze Shield"
ARMR_034_Desc;"[Large Shield] A large shield made of bronze plates."
ARMR_035_Name;"Iron Shield"
ARMR_035_Desc;"[Large Shield] A large shield made of iron steel."
ARMR_036_Name;"Mithril Shield"
ARMR_036_Desc;"[Large Shield] A large shield made of mithril."
ARMR_037_Name;"Dragon Shield"
ARMR_037_Desc;"[Large Shield] A large shield made of dragon scales."
ARMR_039_Name;"Wooden Bangle"
ARMR_039_Desc;"[Magic Equipment] A bangle enchanted with protective
magic."
ARMR_040_Name;"Bronze Bangle"
ARMR_040_Desc;"[Magic Equipment] A bangle enchanted with protective
magic."
ARMR_041_Name;"Iron Bangle"
ARMR_041_Desc;"[Magic Equipment] A bangle enchanted with protective
magic."
ARMR_042_Name;"Mithril Bangle"
ARMR_042_Desc;"[Magic Equipment] A bangle enchanted with protective
magic."
ARMR_043_Name;"Dragon Bangle"
ARMR_043_Desc;"[Magic Equipment] A bangle enchanted with protective
magic."
ARMR_045_Name;"-----Helmets"
ARMR_046_Name;"Bandana"
ARMR_046_Desc;"[General Equipment] A cloth headband for protecting
the forehead."
ARMR_047_Name;"Leather Bandana"
ARMR_047_Desc;"[General Equipment] A leather headband for protecting
the forehead."
ARMR_048_Name;"Leather Hat"
ARMR_048_Desc;"[General Equipment] A hat made of leather."
ARMR_049_Name;"Turban"
ARMR_049_Desc;"[General Equipment] A thick cloth layered and wrapped
around the head for protection."
ARMR_050_Name;"Feathered Hat"
ARMR_050_Desc;"[General Equipment] A fancy hat with bird feathers
attached."
ARMR_052_Name;"Leather Cap"
ARMR_052_Desc;"[Light Equipment] A hat made of tanned hide."
ARMR_053_Name;"Wooden Cap"
ARMR_053_Desc;"[Light Equipment] A light helmet made of wood."
ARMR_054_Name;"Bronze Cap"
ARMR_054_Desc;"[Light Equipment] A light helmet reinforced with
bronze plates."
ARMR_055_Name;"Iron Cap"
ARMR_055_Desc;"[Light Equipment] A light helmet reinforced with
iron plates."
ARMR_056_Name;"Mithril Cap"
ARMR_056_Desc;"[Light Equipment] A light helmet reinforced with
mithril."
ARMR_057_Name;"Dragon Cap"
ARMR_057_Desc;"[Light Equipment] A light helmet reinforced with
dragon scales."
ARMR_059_Name;"Chainmail Coif"
ARMR_059_Desc;"[Heavy Equipment] A hood made with fine, woven chains."
ARMR_060_Name;"Bronze Helm"
ARMR_060_Desc;"[Heavy Equipment] A helmet made with thick bronze
plates."
ARMR_061_Name;"Iron Helm"
ARMR_061_Desc;"[Heavy Equipment] A helmet made with thick iron
plates."
ARMR_062_Name;"Mithril Helm"
ARMR_062_Desc;"[Heavy Equipment] A helmet made of mithril."
ARMR_063_Name;"Dragon Helm"
ARMR_063_Desc;"[Heavy Equipment] A helmet made with dragon scales."
ARMR_065_Name;"Pointed Hat"
ARMR_065_Desc;"[Magic Equipment] A triangular, tanned hide hat with
a wide brim."
ARMR_066_Name;"Circlet"
ARMR_066_Desc;"[Magic Equipment] A simple crown enchanted with
protective magic."
ARMR_067_Name;"Silver Circlet"
ARMR_067_Desc;"[Magic Equipment] A silver crown enchanted with
protective magic."
ARMR_068_Name;"Gold Circlet"
ARMR_068_Desc;"[Magic Equipment] A pure gold crown enchanted with
protective magic."
ARMR_069_Name;"Mithril Circlet"
ARMR_069_Desc;"[Magic Equipment] A mithril crown enchanted with
protective magic."
ARMR_070_Name;"Master Circlet"
ARMR_070_Desc;"[Magic Equipment] A sage’s crown enchanted with
protective magic."
ARMR_072_Name;"-----Accessories"
ARMR_073_Name;"Guard Stone"
ARMR_073_Desc;"[Accessory] A charm that increases Defense."
ARMR_074_Name;"Guard Ring"
ARMR_074_Desc;"[Accessory] A ring that increases Defense."
ARMR_075_Name;"Power Stone"
ARMR_075_Desc;"[Accessory] A charm that increases Attack."
ARMR_076_Name;"Power Ring"
ARMR_076_Desc;"[Accessory] A ring that increases Attack."
ARMR_077_Name;"Speed Stone"
ARMR_077_Desc;"[Accessory] A charm that increases Agility."
ARMR_078_Name;"Speed Ring"
ARMR_078_Desc;"[Accessory] A ring that increases Agility."
ARMR_079_Name;"Lucky Stone"
ARMR_079_Desc;"[Accessory] A charm that increases Luck."
ARMR_080_Name;"Lucky Ring"
ARMR_080_Desc;"[Accessory] A ring that increases Luck."
ARMR_081_Name;"Magical Stone"
ARMR_081_Desc;"[Accessory] A charm that increases M.Attack."
ARMR_082_Name;"Magical Ring"
ARMR_082_Desc;"[Accessory] A ring that increases M.Attack."
ARMR_083_Name;"Shooter Stone"
ARMR_083_Desc;"[Accessory] A charm that increases the Hit Rate of
attacks."
ARMR_084_Name;"Shooter Ring"
ARMR_084_Desc;"[Accessory] A ring that increases the Hit Rate of
attacks."
ARMR_085_Name;"Master Stone"
ARMR_085_Desc;"[Accessory] A charm that reduces MP Cost by 20%."
ARMR_086_Name;"Master Ring"
ARMR_086_Desc;"[Accessory] A ring that reduces MP Cost by 50%."
ARMR_088_Name;"Poison Guard"
ARMR_088_Desc;"[Accessory] A ring that helps prevent Poison and
Paralysis states."
ARMR_089_Name;"Super Poison Guard"
ARMR_089_Desc;"[Accessory] A ring that entirely prevents Poison
and Paralysis states."
ARMR_091_Name;"Mental Guard"
ARMR_091_Desc;"[Accessory] A ring that helps prevent Sleep,
Silence, Confusion, Charm, and Rage states."
ARMR_092_Name;"Super Mental Guard"
ARMR_092_Desc;"[Accessory] A ring that entirely prevents Sleep,
Silence, Confusion, Charm, and Rage states."
ARMR_094_Name;"Enemy Radar"
ARMR_094_Desc;"[Accessory] Raises the chance of performing a
preemptive attack."
ARMR_095_Name;"Warning Bell"
ARMR_095_Desc;"[Accessory] Prevents surprise attacks."
ARMR_096_Name;"Stocker"
ARMR_096_Desc;"[Accessory] Allows you to carryover TP over into the
next battle."
ARMR_097_Name;"Ring of Guts"
ARMR_097_Desc;"[Accessory] Increases TP Charge Rate."
ARMR_098_Name;"MP Keeper"
ARMR_098_Desc;"[Accessory] Decreases MP Cost Rate."
ARMR_099_Name;"Elemental Guard"
ARMR_099_Desc;"[Accessory] Damage inflicted by Fire, Water, Wind,
and Earth attacks is halved."
ARMR_100_Name;"Spectacles"
ARMR_100_Desc;"[Accessory] Sharpens eyesight and increases hit rate."
SKILL_001_Name;"Attack"
SKILL_001_Msg1;"%1 attacks!"
SKILL_002_Name;"Guard"
SKILL_002_Msg1;"%1 guards."
SKILL_003_Name;"-----Reserved"
SKILL_003_Desc;"Below are spaces for when you would like to display
things above skills when you open the menu."
SKILL_011_Name;"-----Enemy"
SKILL_012_Name;"Dual Attack"
SKILL_012_Desc;"Performs a series of attacks on an enemy."
SKILL_012_Msg1;"%1 attacks!"
SKILL_013_Name;"Double Attack"
SKILL_013_Desc;"Performs a double attack on a random enemy."
SKILL_013_Msg1;"%1 attacks!"
SKILL_014_Name;"Triple Attack"
SKILL_014_Desc;"Performs a triple attack on a random enemy."
SKILL_014_Msg1;"%1 attacks!"
SKILL_015_Name;"Escape"
SKILL_015_Desc;"The user flees from battle."
SKILL_015_Msg1;"%1 flees."
SKILL_016_Name;"Wait and See"
SKILL_016_Desc;"Waits to see what happens."
SKILL_016_Msg1;"%1 is waiting to see what happens."
SKILL_017_Name;"Blood Suck"
SKILL_017_Desc;"Absorbs HP from an enemy."
SKILL_017_Msg1;"%1 sucks blood!"
SKILL_018_Name;"Meditate"
SKILL_018_Desc;"Restores the user’s HP."
SKILL_018_Msg1;"%1 meditates!"
SKILL_019_Name;"Tranquilizer"
SKILL_019_Desc;"Stabs an enemy with paralyzing needles."
SKILL_019_Msg1;"%1 does %2!"
SKILL_020_Name;"Bodyslam"
SKILL_020_Desc;"Inflicts damage and causes an enemy to lose balance."
SKILL_020_Msg1;"%1 does bodyslam!"
SKILL_021_Name;"Shock"
SKILL_021_Desc;"Inflicts Thunder-type damage and Paralysis state."
SKILL_021_Msg1;"%1 does %2!"
SKILL_022_Name;"Slime"
SKILL_022_Desc;"Covers an enemy in slime and lowers their Agility."
SKILL_022_Msg1;"%1 shoots out slime!"
SKILL_023_Name;"Venom"
SKILL_023_Desc;"Sprays an enemy with venom and inflicts Poison state."
SKILL_023_Msg1;"%1 uses %2!"
SKILL_024_Name;"Shout"
SKILL_024_Desc;"Rouses the user’s fighting spirit and fortifies
their abilities."
SKILL_024_Msg1;"%1 rouses their fighting spirit!"
SKILL_025_Name;"Bizarre Dance"
SKILL_025_Desc;"Absorbs MP from an enemy."
SKILL_025_Msg1;"%1 dances bizarrely!"
SKILL_026_Name;"Petrify"
SKILL_026_Desc;"Glares at an enemy and paralyzes them."
SKILL_026_Msg1;"%1 does %2!"
SKILL_027_Name;"Eye Poke"
SKILL_027_Desc;"Blinds an enemy."
SKILL_027_Msg1;"%1 does %2!"
SKILL_028_Name;"Sandstorm"
SKILL_028_Desc;"Blinds all enemies."
SKILL_028_Msg1;"%1 does %2!"
SKILL_029_Name;"Flash"
SKILL_029_Desc;"Blinds all enemies."
SKILL_029_Msg1;"%1 does %2!"
SKILL_030_Name;"Toxic Fog"
SKILL_030_Desc;"Poisons all enemies."
SKILL_030_Msg1;"%1 does %2!"
SKILL_031_Name;"Lullaby"
SKILL_031_Desc;"Puts all enemies to sleep."
SKILL_031_Msg1;"%1 sings a Lullaby!"
SKILL_032_Name;"Alluring Melody"
SKILL_032_Desc;"Charms all enemies."
SKILL_032_Msg1;"%1 sings an Alluring Melody!"
SKILL_033_Name;"Song of Silence"
SKILL_033_Desc;"Seals all enemies’ magic."
SKILL_033_Msg1;"%1 sings a Song of Silence!"
SKILL_034_Name;"Sonic Wave"
SKILL_034_Desc;"Confuses all enemies."
SKILL_034_Msg1;"%1 does %2!"
SKILL_035_Name;"Stone Throw"
SKILL_035_Desc;"Inflicts Earth-type damage on all enemies."
SKILL_035_Msg1;"%1 does %2!"
SKILL_036_Name;"Dust Devil"
SKILL_036_Desc;"Inflicts Wind-type damage on all enemies."
SKILL_036_Msg1;"%1 does %2!"
SKILL_037_Name;"Fire Breath"
SKILL_037_Desc;"Inflicts Fire-type damage on all enemies."
SKILL_037_Msg1;"%1 does %2!"
SKILL_038_Name;"Ice Breath"
SKILL_038_Desc;"Inflicts Ice-type damage on all enemies."
SKILL_038_Msg1;"%1 does %2!"
SKILL_039_Name;"Earthquake"
SKILL_039_Desc;"Inflicts Earth-type damage on all enemies."
SKILL_039_Msg1;"%1 causes an Earthquake!"
SKILL_040_Name;"Tsunami"
SKILL_040_Desc;"Inflicts Water-type damage on all enemies."
SKILL_040_Msg1;"%1 causes a Tsunami!"
SKILL_041_Name;"Scratch"
SKILL_041_Desc;"Inflicts damage on an enemy."
SKILL_041_Msg1;"%1 attacks!"
SKILL_051_Name;"-----Basic Magic"
SKILL_052_Name;"Heal I"
SKILL_052_Desc;"Restores an ally’s HP."
SKILL_052_Msg1;"%1 casts %2!"
SKILL_053_Name;"Heal II"
SKILL_053_Desc;"Restores an ally’s HP."
SKILL_053_Msg1;"%1 casts %2!"
SKILL_054_Name;"Heal III"
SKILL_054_Desc;"Restores an ally’s HP."
SKILL_054_Msg1;"%1 casts %2!"
SKILL_056_Name;"Recover I"
SKILL_056_Desc;"Restores all allies’ HP."
SKILL_056_Msg1;"%1 casts %2!"
SKILL_057_Name;"Recover II"
SKILL_057_Desc;"Restores all allies’ HP."
SKILL_057_Msg1;"%1 casts %2!"
SKILL_058_Name;"Recover III"
SKILL_058_Desc;"Restores all allies’ HP."
SKILL_058_Msg1;"%1 casts %2!"
SKILL_060_Name;"Cure I"
SKILL_060_Desc;"Cures an ally’s Poison, Paralysis, or Sleep state."
SKILL_060_Msg1;"%1 casts %2!"
SKILL_061_Name;"Cure II"
SKILL_061_Desc;"Cures an ally’s status ailments other than Dead."
SKILL_061_Msg1;"%1 casts %2!"
SKILL_062_Name;"Cure III"
SKILL_062_Desc;"Cures all allies’ status ailments other than Dead."
SKILL_062_Msg1;"%1 casts %2!"
SKILL_064_Name;"Raise I"
SKILL_064_Desc;"Raises an ally from the dead."
SKILL_064_Msg1;"%1 casts %2!"
SKILL_065_Name;"Raise II"
SKILL_065_Desc;"Raises an ally from the dead and greatly restores
their HP."
SKILL_065_Msg1;"%1 casts %2!"
SKILL_071_Name;"Poison"
SKILL_071_Desc;"Poisons all enemies."
SKILL_071_Msg1;"%1 casts %2!"
SKILL_072_Name;"Blind"
SKILL_072_Desc;"Blinds all enemies."
SKILL_072_Msg1;"%1 casts %2!"
SKILL_073_Name;"Confuse"
SKILL_073_Desc;"Confuses all enemies."
SKILL_073_Msg1;"%1 casts %2!"
SKILL_074_Name;"Silence"
SKILL_074_Desc;"Seals all enemies’ magic."
SKILL_074_Msg1;"%1 casts %2!"
SKILL_075_Name;"Sleep"
SKILL_075_Desc;"Puts all enemies to sleep."
SKILL_075_Msg1;"%1 casts %2!"
SKILL_076_Name;"Paralyze"
SKILL_076_Desc;"Paralyzes all enemies."
SKILL_076_Msg1;"%1 casts %2!"
SKILL_081_Name;"Weapon Bless"
SKILL_081_Desc;"Increases an ally’s Attack.
Usable up to 2 times in a row."
SKILL_081_Msg1;"%1 casts %2!"
SKILL_082_Name;"Weapon Curse"
SKILL_082_Desc;"Decreases all enemies’ Attack.
Usable up to 2 times in a row."
SKILL_082_Msg1;"%1 casts %2!"
SKILL_083_Name;"Armor Bless"
SKILL_083_Desc;"Increases an ally’s Defense.
Usable up to 2 times in a row."
SKILL_083_Msg1;"%1 casts %2!"
SKILL_084_Name;"Armor Curse"
SKILL_084_Desc;"Decreases all enemies’ Defense.
Usable up to 2 times in a row."
SKILL_084_Msg1;"%1 casts %2!"
SKILL_085_Name;"Spirit Bless"
SKILL_085_Desc;"Increases an ally’s M.Attack.
Usable up to 2 times in a row."
SKILL_085_Msg1;"%1 casts %2!"
SKILL_086_Name;"Spirit Curse"
SKILL_086_Desc;"Decreases all enemies’ M.Attack.
Usable up to 2 times in a row."
SKILL_086_Msg1;"%1 casts %2!"
SKILL_087_Name;"Divine Bless"
SKILL_087_Desc;"Increases an ally’s M.Defense.
Usable up to 2 times in a row."
SKILL_087_Msg1;"%1 casts %2!"
SKILL_088_Name;"Divine Curse"
SKILL_088_Desc;"Decreases all enemies’ M.Defense.
Usable up to 2 times in a row."
SKILL_088_Msg1;"%1 casts %2!"
SKILL_089_Name;"Quicken Movement"
SKILL_089_Desc;"Increases an ally’s Agility.
Usable up to 2 times in a row."
SKILL_089_Msg1;"%1 casts %2!"
SKILL_090_Name;"Slow Movement"
SKILL_090_Desc;"Decreases all enemies’ Agility.
Usable up to 2 times in a row."
